im1_name,im2_name,pair_type,pair_distance_type,pair_order,repeat
057518.jpg,070831.jpg,gt,score 2-6,low-high,0
163226.jpg,027404.jpg,gt,score 2-6,low-high,0
159705.jpg,098607.jpg,gt,score 2-6,low-high,0
102224.jpg,125841.jpg,gt,score 2-6,low-high,0
088703.jpg,060969.jpg,gt,score 2-6,low-high,0
179200.jpg,018848.jpg,gt,score 2-6,low-high,0
089364.jpg,023875.jpg,gt,score 2-6,low-high,0
116932.jpg,193111.jpg,gt,score 2-6,low-high,0
022208.jpg,070612.jpg,gt,score 2-6,low-high,0
053963.jpg,188649.jpg,gt,score 2-6,low-high,0
092543.jpg,069206.jpg,gt,score 2-6,low-high,0
041019.jpg,131691.jpg,gt,score 2-6,low-high,0
032897.jpg,183857.jpg,gt,score 2-6,low-high,0
148453.jpg,115165.jpg,gt,score 2-6,low-high,0
123534.jpg,103412.jpg,gt,score 2-6,low-high,0
184595.jpg,198691.jpg,gt,score 2-6,low-high,0
023563.jpg,100946.jpg,gt,score 2-6,low-high,0
187219.jpg,191456.jpg,gt,score 2-6,low-high,0
119846.jpg,107315.jpg,gt,score 2-6,low-high,0
007576.jpg,131653.jpg,gt,score 2-6,low-high,0
079101.jpg,154907.jpg,gt,score 2-6,low-high,0
028968.jpg,042368.jpg,gt,score 2-6,low-high,0
038621.jpg,138981.jpg,gt,score 2-6,low-high,0
092300.jpg,068567.jpg,gt,score 2-6,low-high,0
093588.jpg,121523.jpg,gt,score 2-6,low-high,0
079362.jpg,102474.jpg,gt,score 2-6,low-high,0
028036.jpg,048201.jpg,gt,score 2-6,low-high,0
086859.jpg,129157.jpg,gt,score 2-6,low-high,0
003044.jpg,094564.jpg,gt,score 2-6,low-high,0
008481.jpg,163542.jpg,gt,score 2-6,low-high,0
083021.jpg,170529.jpg,gt,score 2-6,low-high,0
142860.jpg,092213.jpg,gt,score 2-6,low-high,0
051933.jpg,115835.jpg,gt,score 2-6,low-high,0
099869.jpg,126658.jpg,gt,score 2-6,low-high,0
038389.jpg,192599.jpg,gt,score 2-6,low-high,0
116705.jpg,184199.jpg,gt,score 2-6,low-high,0
078003.jpg,102208.jpg,gt,score 2-6,low-high,0
124225.jpg,191333.jpg,gt,score 2-6,low-high,0
020119.jpg,074410.jpg,gt,score 2-6,low-high,0
121771.jpg,071896.jpg,gt,score 2-6,low-high,0
196721.jpg,180863.jpg,gt,score 2-6,low-high,0
089108.jpg,147416.jpg,gt,score 2-6,low-high,0
022421.jpg,111853.jpg,gt,score 2-6,low-high,0
178055.jpg,010582.jpg,gt,score 2-6,low-high,0
097300.jpg,112395.jpg,gt,score 2-6,low-high,0
167156.jpg,166545.jpg,gt,score 2-6,low-high,0
124319.jpg,159824.jpg,gt,score 2-6,low-high,0
200278.jpg,189983.jpg,gt,score 2-6,low-high,0
058303.jpg,059746.jpg,gt,score 2-6,low-high,0
142945.jpg,117921.jpg,gt,score 2-6,low-high,0
098009.jpg,100112.jpg,gt,score 4-8,low-high,0
013907.jpg,020174.jpg,gt,score 4-8,low-high,0
099410.jpg,149650.jpg,gt,score 4-8,low-high,0
081449.jpg,074137.jpg,gt,score 4-8,low-high,0
013404.jpg,092422.jpg,gt,score 4-8,low-high,0
146030.jpg,067760.jpg,gt,score 4-8,low-high,0
048996.jpg,095519.jpg,gt,score 4-8,low-high,0
155248.jpg,078722.jpg,gt,score 4-8,low-high,0
112113.jpg,031328.jpg,gt,score 4-8,low-high,0
001819.jpg,092497.jpg,gt,score 4-8,low-high,0
142941.jpg,134849.jpg,gt,score 4-8,low-high,0
054771.jpg,122302.jpg,gt,score 4-8,low-high,0
096725.jpg,162191.jpg,gt,score 4-8,low-high,0
093248.jpg,202239.jpg,gt,score 4-8,low-high,0
191408.jpg,026394.jpg,gt,score 4-8,low-high,0
174212.jpg,119342.jpg,gt,score 4-8,low-high,0
042567.jpg,178255.jpg,gt,score 4-8,low-high,0
197623.jpg,049305.jpg,gt,score 4-8,low-high,0
152312.jpg,050848.jpg,gt,score 4-8,low-high,0
068174.jpg,147288.jpg,gt,score 4-8,low-high,0
140306.jpg,153987.jpg,gt,score 4-8,low-high,0
195769.jpg,027582.jpg,gt,score 4-8,low-high,0
175368.jpg,168489.jpg,gt,score 4-8,low-high,0
140819.jpg,010745.jpg,gt,score 4-8,low-high,0
037198.jpg,003903.jpg,gt,score 4-8,low-high,0
089666.jpg,098206.jpg,gt,score 4-8,low-high,0
077759.jpg,089097.jpg,gt,score 4-8,low-high,0
107653.jpg,136745.jpg,gt,score 4-8,low-high,0
104027.jpg,131370.jpg,gt,score 4-8,low-high,0
135143.jpg,045190.jpg,gt,score 4-8,low-high,0
036205.jpg,175117.jpg,gt,score 4-8,low-high,0
038533.jpg,154249.jpg,gt,score 4-8,low-high,0
190857.jpg,190870.jpg,gt,score 4-8,low-high,0
051199.jpg,128523.jpg,gt,score 4-8,low-high,0
189483.jpg,132749.jpg,gt,score 4-8,low-high,0
039873.jpg,143208.jpg,gt,score 4-8,low-high,0
107901.jpg,196727.jpg,gt,score 4-8,low-high,0
156791.jpg,121704.jpg,gt,score 4-8,low-high,0
144769.jpg,052161.jpg,gt,score 4-8,low-high,0
118285.jpg,071870.jpg,gt,score 4-8,low-high,0
105743.jpg,014742.jpg,gt,score 4-8,low-high,0
110753.jpg,165285.jpg,gt,score 4-8,low-high,0
103839.jpg,163842.jpg,gt,score 4-8,low-high,0
126495.jpg,075201.jpg,gt,score 4-8,low-high,0
186219.jpg,064052.jpg,gt,score 4-8,low-high,0
162714.jpg,010714.jpg,gt,score 4-8,low-high,0
131023.jpg,172837.jpg,gt,score 4-8,low-high,0
118408.jpg,052564.jpg,gt,score 4-8,low-high,0
185402.jpg,031708.jpg,gt,score 4-8,low-high,0
123593.jpg,032895.jpg,gt,score 4-8,low-high,0
