,feat_layer,rand_num,test_ratio,pca_num,imp1,train1,test1,imp2,train2,test2,imp3,train3,test3,imp4,train4,test4,imp5,train5,test5,imp6,train6,test6
0,conv51,0,0.2,300,trustworthy,0.7247549328829689,0.5341832074886915,intelligent,0.6572429107781942,0.41975375261825004,attractive,0.7168397794665817,0.6435353716109028,aggressive,0.710521050533523,0.5994581992363655,responsible,0.7110825830572509,0.478955567310264,sociable,0.7328288305835703,0.6129230262586505
1,conv51,0,0.2,310,trustworthy,0.7316554745709033,0.5384720156987263,intelligent,0.6655794670394306,0.41715005792580406,attractive,0.7186772955931927,0.6440123687186353,aggressive,0.7149597498001469,0.6082894742763864,responsible,0.7200840072782412,0.48434313672767276,sociable,0.7353898924377137,0.6143828444862836
2,conv51,0,0.2,320,trustworthy,0.7353420851039294,0.5389278088399246,intelligent,0.6697250397506844,0.4186100205044678,attractive,0.7218607246003186,0.6492259897362003,aggressive,0.7188295537197994,0.6062309805991694,responsible,0.7249042439929154,0.48592958559148497,sociable,0.7382718236818083,0.6189664425244907
3,conv51,0,0.2,330,trustworthy,0.7398609999890066,0.5356880092835774,intelligent,0.6740072324336717,0.4198746989829917,attractive,0.729654068187061,0.6507175981133978,aggressive,0.7227672204844228,0.6024666300768545,responsible,0.7298528946589691,0.48935794335036675,sociable,0.7452926532879397,0.6152933159320861
4,conv51,0,0.2,340,trustworthy,0.7412126144616605,0.5417883521711246,intelligent,0.6749052807666794,0.41889644670981985,attractive,0.730916999374773,0.6476096964642903,aggressive,0.7258223281978401,0.6081643116484527,responsible,0.7308144894875768,0.49042559593968316,sociable,0.7488133416484265,0.6153248698904797
5,conv51,0,0.2,350,trustworthy,0.7434583936856196,0.5495631076466999,intelligent,0.6801207311488717,0.4170494244941803,attractive,0.7361360228462435,0.6478047389521218,aggressive,0.7285608099392673,0.6121300363182969,responsible,0.7350522074645841,0.49822334231825355,sociable,0.7536032326607216,0.6222621471553696
6,conv51,0,0.2,360,trustworthy,0.74488998696997,0.5493872773519733,intelligent,0.6812879402940385,0.41730533616491244,attractive,0.7379107292599535,0.6453102170548036,aggressive,0.7318858488664187,0.6160475576275543,responsible,0.7362904714022762,0.4988318550889899,sociable,0.7542556367280794,0.6216569068965424
7,conv51,0,0.2,370,trustworthy,0.746603836143436,0.547207679774641,intelligent,0.6844097518789002,0.4095631275016615,attractive,0.7418776443496281,0.6370580578397291,aggressive,0.7354488353891667,0.6099050817254857,responsible,0.7381685337103797,0.49701723472908155,sociable,0.7567260405932088,0.6151661673830763
8,conv51,0,0.2,380,trustworthy,0.7505027941184957,0.5457481978921548,intelligent,0.6895162009874641,0.4052173624683155,attractive,0.7456126402481259,0.6359882426389801,aggressive,0.7392492598903124,0.6108124486655697,responsible,0.7419074522994376,0.4912645536390869,sociable,0.7585499796865942,0.6150830718493928
9,conv51,0,0.2,390,trustworthy,0.7552561905859194,0.5432567723418511,intelligent,0.691523078654073,0.4087424483051113,attractive,0.7491628795867591,0.6414909326229311,aggressive,0.7416818875459319,0.6110385487987117,responsible,0.74416698537924,0.49053448395321125,sociable,0.7614879141788836,0.6186808166702827
