,feat_layer,rand_num,test_ratio,pca_num,imp1,train1,test1,imp2,train2,test2,imp3,train3,test3,imp4,train4,test4,imp5,train5,test5,imp6,train6,test6
0,conv52,0,0.2,150,trustworthy,0.6599923641578964,0.618743082764235,intelligent,0.58110812203154,0.534391580285007,attractive,0.6644480928029067,0.645565880101948,aggressive,0.6531022027445595,0.6217207861461412,responsible,0.6477859088279292,0.5891485573217929,sociable,0.6791394500694279,0.6296066453894053
1,conv52,0,0.2,160,trustworthy,0.6648839000514151,0.6291756135789053,intelligent,0.5893557272955331,0.5536507075785359,attractive,0.6709805268291318,0.6624565216885456,aggressive,0.6590350385564099,0.624129769597471,responsible,0.6535490311815614,0.604266801511882,sociable,0.6879461286269077,0.6258348690970482
2,conv52,0,0.2,170,trustworthy,0.6738688392850273,0.6222629642031198,intelligent,0.5969906345248793,0.5520399291304999,attractive,0.6767910145733984,0.6655125123454723,aggressive,0.6658644132875023,0.623351038896807,responsible,0.6592375106987503,0.599033353825796,sociable,0.6996932071056148,0.6289824736147105
3,conv52,0,0.2,180,trustworthy,0.685408891393968,0.6353412561532443,intelligent,0.6062259233915831,0.5586535278540774,attractive,0.6839821707480471,0.6751971343416959,aggressive,0.6756759212271914,0.6336785956562463,responsible,0.6674120948161371,0.6041662831469826,sociable,0.7112319703893764,0.64609860396992
4,conv52,0,0.2,190,trustworthy,0.6880478300749916,0.638613538200068,intelligent,0.6101996819284097,0.5481342106816922,attractive,0.6868794735869028,0.6732937247557311,aggressive,0.6805737754766042,0.6311914603853053,responsible,0.6720914782970794,0.5971332038069319,sociable,0.7130605127840595,0.6486602484374565
5,conv52,0,0.2,200,trustworthy,0.6897793460633077,0.6342199136057222,intelligent,0.6149475148639719,0.5533437849713237,attractive,0.6897699709677094,0.6801768248953786,aggressive,0.6837778405460107,0.6265049090597434,responsible,0.6766900258978209,0.5970092107987826,sociable,0.7160236977250851,0.6462106021412952
6,conv52,0,0.2,210,trustworthy,0.6967475930890309,0.6326809485978949,intelligent,0.6188867809237839,0.5510889864037166,attractive,0.6990485309774962,0.6740186227589935,aggressive,0.6904496737585476,0.6178869518307436,responsible,0.6805536570923957,0.5931673322461878,sociable,0.722767698899391,0.6420067493156686
7,conv52,0,0.2,220,trustworthy,0.6978915521842369,0.6376181941761058,intelligent,0.6207700403058323,0.5546762819285043,attractive,0.7025759787156348,0.6711068490347734,aggressive,0.69234501873436,0.6204907258055704,responsible,0.6830737226564849,0.5947628025613974,sociable,0.724962206572254,0.6487216325946875
8,conv52,0,0.2,230,trustworthy,0.7031599250744108,0.6414276069772638,intelligent,0.624771245343111,0.5555193372798206,attractive,0.7050485344496376,0.6725400531310458,aggressive,0.6961262930446125,0.6304184007600648,responsible,0.6857437692506165,0.5955385914729939,sociable,0.7277178206260693,0.649966844632714
9,conv52,0,0.2,240,trustworthy,0.7067244240293828,0.6405259193123403,intelligent,0.6299535460647744,0.5545751385551492,attractive,0.7114283539556236,0.6728934692288719,aggressive,0.7011815492979118,0.624946829056003,responsible,0.6900730114779614,0.5926541916052275,sociable,0.7318860733172298,0.6507221040581737
10,conv52,0,0.2,250,trustworthy,0.7116579762584382,0.6377248370976405,intelligent,0.63161591127554,0.5560369509345359,attractive,0.714413010855347,0.6730361747440529,aggressive,0.7068736727881673,0.630901989517477,responsible,0.6923254314461439,0.5949999158689228,sociable,0.7339919415609018,0.6502898538350053
11,conv52,0,0.2,260,trustworthy,0.7168097157937269,0.6353702702695107,intelligent,0.6361780727735431,0.5568432571543259,attractive,0.7194840028667986,0.6693257246469361,aggressive,0.7151474947811137,0.6251370229036501,responsible,0.6969263592120897,0.5933180837905561,sociable,0.7415836952974981,0.6476947386173135
12,conv52,0,0.2,270,trustworthy,0.7204204312525997,0.6305919664126703,intelligent,0.6424174113862108,0.552258556594578,attractive,0.723004628333362,0.6665188967224538,aggressive,0.7177144568474765,0.626005563829852,responsible,0.7003228478853173,0.5896178889568011,sociable,0.7438301526435512,0.6466215402556136
13,conv52,0,0.2,280,trustworthy,0.725444640869596,0.6284933609438238,intelligent,0.6469906490684016,0.5513374469649549,attractive,0.7305843435469112,0.6647663422960871,aggressive,0.7226010532500127,0.6270178291905153,responsible,0.7048877794679923,0.5877738682207047,sociable,0.7494547967035872,0.6487289368295566
14,conv52,0,0.2,290,trustworthy,0.7289342861793388,0.6333641139412317,intelligent,0.6503665442279148,0.5615383559846934,attractive,0.7320158429144177,0.6639459142136057,aggressive,0.7271010508244238,0.6275572055423795,responsible,0.7088971537037188,0.5961485391737564,sociable,0.755384182525874,0.6526499924318553
15,conv52,0,0.2,300,trustworthy,0.7312271745237091,0.6360049684887692,intelligent,0.6547241294636704,0.553894887925774,attractive,0.7370157965082285,0.6697894096295067,aggressive,0.7300891747232727,0.6273283862789273,responsible,0.7112446420656311,0.5990507403885366,sociable,0.7593949194773341,0.6596212719037159
16,conv52,0,0.2,310,trustworthy,0.7337651740312744,0.6368931483237165,intelligent,0.6621164096197145,0.55313008907559,attractive,0.7444385993855042,0.6702437349753613,aggressive,0.7320623528901435,0.6269325618195601,responsible,0.7159939515508544,0.5944621962997224,sociable,0.7631709070629882,0.6611447518347014
17,conv52,0,0.2,320,trustworthy,0.7363879419113991,0.6366314114824404,intelligent,0.6666772716335099,0.5473992182663706,attractive,0.750552927192514,0.6752687546815007,aggressive,0.7348808573639706,0.6247063974280292,responsible,0.7180069626923048,0.5906166033670028,sociable,0.764752474383818,0.663885265525528
18,conv52,0,0.2,330,trustworthy,0.7423774143558202,0.6361500705012043,intelligent,0.6748478435490849,0.5460651396873629,attractive,0.7522060726928685,0.6776867715258197,aggressive,0.738040780082624,0.6194992892415015,responsible,0.7231772293846883,0.5912881835934083,sociable,0.7663465284161861,0.663939753382865
19,conv52,0,0.2,340,trustworthy,0.7452593994872816,0.6357502473708095,intelligent,0.6777204875176155,0.5428834600789733,attractive,0.7553188133405533,0.6711687121556386,aggressive,0.7404628807197333,0.6200021361818804,responsible,0.7261499880299487,0.5902099288164149,sociable,0.7684176844448632,0.6652727972006786
20,conv52,0,0.2,350,trustworthy,0.7469801725419631,0.633340841401157,intelligent,0.6834888661435478,0.534260322927894,attractive,0.756826975941632,0.6701918826160802,aggressive,0.7437237341421715,0.6197861346595979,responsible,0.7312476277875625,0.5838227736639507,sociable,0.7708451343943674,0.6618469840856588
21,conv52,1,0.2,150,trustworthy,0.6648602140369116,0.5995388182967148,intelligent,0.599874151206845,0.4544341902635621,attractive,0.6752374234876442,0.548228688779619,aggressive,0.657740543300125,0.6001131854213306,responsible,0.6529341031186371,0.5669788065423503,sociable,0.6785272165695048,0.6092818593287719
22,conv52,1,0.2,160,trustworthy,0.6718595640458769,0.6009818840805156,intelligent,0.6052077142306571,0.45834680002590084,attractive,0.6917940010873728,0.582472003458784,aggressive,0.6661080653919632,0.5962296048081703,responsible,0.660196109910906,0.5709910201922035,sociable,0.690149636257379,0.6269196971233764
23,conv52,1,0.2,170,trustworthy,0.6779153092517168,0.5983097438247792,intelligent,0.6095262293788121,0.4653554494875471,attractive,0.6961581029948875,0.5814646619246878,aggressive,0.6724666622468064,0.5978942554810796,responsible,0.662526475262183,0.5738710300385264,sociable,0.6995166197715825,0.6285358842702081
24,conv52,1,0.2,180,trustworthy,0.6882844116196898,0.6155311329585116,intelligent,0.6202843928833605,0.48095275329207876,attractive,0.7007785635503471,0.5859290418274303,aggressive,0.6825788141930278,0.6012984867946692,responsible,0.6691089593560495,0.5898602943654463,sociable,0.7088368321788956,0.641848735528373
25,conv52,1,0.2,190,trustworthy,0.6941318002653638,0.6104092175439998,intelligent,0.6234582527820847,0.47683891206675133,attractive,0.7063395880112522,0.5916613186998273,aggressive,0.6890600642818432,0.6041891650768377,responsible,0.6715579049520162,0.5854619656853685,sociable,0.7153685838,0.6398701148054379
26,conv52,1,0.2,200,trustworthy,0.6963402073953975,0.6092215387709874,intelligent,0.6288061805864172,0.4856900496535514,attractive,0.7121778265745644,0.602327412942387,aggressive,0.6934238839659687,0.5937562452984948,responsible,0.6768883788179592,0.5923800097809601,sociable,0.7208558217801563,0.6427487455559256
27,conv52,1,0.2,210,trustworthy,0.7031113206521994,0.6020773878086743,intelligent,0.6325066517146041,0.4831069205900997,attractive,0.716231111552072,0.6009944096440464,aggressive,0.6987846514807081,0.5944396356511781,responsible,0.6801518864020273,0.5861706391275883,sociable,0.7242865438836524,0.6380935605030353
