faceId	faceTopDimension	faceLeftDimension	faceWidthDimension	faceHeightDimension	Smile	pitch	roll	yaw	gender	age	moustache	beard	sideburns	glasses	anger	contempt	disgust	fear	hapiness	neutral	sadness	surprise	blurlevel	blurvalue	exposurelevel	exposurevalue	noiselevel	noisevalue	eymakeup	lipmakeup	foreheadoccluded	eyeoccluded	mouthoccluded	hair-bald	hair-invisible	img_name
570f7c56-931f-41a2-9a8a-c581d531d27f	81	66	111	111	0.989	0	-3.7	1.8	male	45.3	0.3	0.2	0	NoGlasses	0	0	0	0	0.989	0.011	0	0	medium	0.47	goodExposure	0.71	low	0.14	FALSE	FALSE	FALSE	FALSE	FALSE	0.91	FALSE	vc941_cb.jpeg
073f1e81-eaeb-4752-b2bf-2c9e31a4ff37	55	66	73	73	1	0	-0.7	16.9	male	29.5	0.1	0.2	0.2	NoGlasses	0	0	0	0	1	0	0	0	low	0	overExposure	0.78	low	0.07	FALSE	FALSE	FALSE	FALSE	FALSE	0.46	FALSE	vc829_cb.jpeg
9505e559-a3db-4337-a05f-6ee0d46a03fd	66	75	104	104	0.701	0	-5	-6.2	male	52.3	0.1	0.3	0.2	ReadingGlasses	0	0	0	0	0.701	0.298	0	0	low	0	overExposure	0.9	low	0.02	FALSE	FALSE	FALSE	FALSE	FALSE	0.02	FALSE	vc813_tw.jpeg
88fb44c2-64f9-43df-be8b-1e94248f2082	72	59	120	120	0.999	0	-2.5	-0.5	male	50.1	0.1	0	0.1	NoGlasses	0	0	0	0	0.999	0	0	0	medium	0.62	goodExposure	0.7	medium	0.31	FALSE	FALSE	FALSE	FALSE	FALSE	0.03	FALSE	vc23_cb.jpeg
d9c2b27b-1536-45e4-98da-4ffe123ee94e	97	71	106	106	1	0	-1.1	-4.4	female	37.4	0	0	0	NoGlasses	0	0	0	0	1	0	0	0	low	0.22	goodExposure	0.66	low	0	TRUE	TRUE	FALSE	FALSE	FALSE	0	FALSE	vc483_cb.jpeg
e1f25dae-610d-4a97-89e4-5a429ec52ad6	37	95	73	73	0	0	-3.6	-3.7	male	36.9	0.5	0.7	0.6	NoGlasses	0	0	0	0	0	1	0	0	high	0.79	overExposure	0.82	medium	0.52	FALSE	FALSE	FALSE	FALSE	FALSE	0.13	FALSE	vc307_cb.jpeg
2b60868f-36d6-4389-91ad-d6d511676a6a	108	159	81	81	0.001	0	-6.2	-27.2	male	33.6	0.5	0.5	0.6	ReadingGlasses	0.002	0.023	0.006	0.001	0.001	0.92	0.042	0.005	low	0	goodExposure	0.69	low	0.12	FALSE	TRUE	FALSE	FALSE	FALSE	0.02	FALSE	vc123_tw.jpeg
637a8ba0-1339-4c25-8c1e-9b6e152b9392	87	76	109	109	1	0	1.5	-6.6	male	53.3	0.1	0	0	NoGlasses	0	0	0	0	1	0	0	0	low	0.08	overExposure	0.78	low	0	FALSE	FALSE	FALSE	FALSE	FALSE	0.03	FALSE	vc317_cb.jpeg
f3b66679-5472-40e0-8828-0033c7641d76	101	79	97	97	1	0	-4	8.4	female	48.7	0	0	0	NoGlasses	0	0	0	0	1	0	0	0	medium	0.68	goodExposure	0.61	low	0.12	TRUE	TRUE	FALSE	FALSE	FALSE	0	FALSE	vc552_cb.jpeg
9bd48434-5cf8-4155-9c1d-542cbf7542e4	66	46	90	90	0.001	0	-2.1	-6.7	male	42	0.5	0.6	0	ReadingGlasses	0.001	0.007	0	0	0.001	0.991	0.001	0	low	0.02	goodExposure	0.72	low	0	FALSE	FALSE	FALSE	FALSE	FALSE	0.98	FALSE	vc776_tw.jpeg
